Nom,Fonction,Position,Description,Pouvoir,Image,crop_x,crop_y,width,height
Ω Golgoth,traceur,Fer,neuvième du nom; descend d’une lignée de traceurs. Le traceur est celui qui choisit la Trace pour remonter le vent. En tête de la formation il décide de l’itinéraire de la Horde. Pret a tout pour atteindre l'Extrêmes-Amont; il ne peut pas echouer.,Laissez quelqu'un sur place pour avancer et perdez un point de moral,Golgoth.png
π Pietro Della Rocca,prince,Fer,Descendant d’une lignée de princes dont refuse de porter le titre. Is veut s'en rendre digne et mériter le prestige qui accompagne son nom.,Mettre la valeur d'un d6 sur la face desiree,Pietro.png
) Sov Sevcenko,scribe,Fer,Sov est responsable du carnet de contre. C’est lui qui consigne toute la quête de la Horde et retranscrit les vents rencontrés. Il est en quelque sorte la mémoire de la Horde.,Perdez 2 points de moral et distribuez votre moral restant sur vos d6,Sov.png
Δ Erg Machaon,combattant-protecteur,Fer,Formé à Ker Derban spécialement pour la protection de la Horde à laquelle il dédie sa vie; il y a développé une technique secrète basée sur le combat aérien.,Reculez une fois sans perdre de moral,Erg.png
¬ Talweg Arcippé,géomaître,Fer,Talweg est le géomaitre de la Horde. En tant que tel; il étudie le terrain qu’elle traverse (les roches et les dénivelés) et en déduit les chemins les plus adaptés qu’il suggère à Golgoth.,Ignorez les malus du terrain,Talweg.png
> Firost de Toroge,pilier,Fer,Firost est le pilier de la Horde. Il possède une stature robuste; ce qui pousse Caracole à le comparer à « une poutre à deux pattes ».,Pivotez une tuile adjacente d'une section,Firost.png
^ Tourse,l'autoursier,Pack,Il occupe le poste d’éleveur et dresseur d’autour (sorte de faucon). Pour ce faire; Tourse a choisi de jouer sur la connivence plutôt que sur l’obéissance. Il nourrit la horde avec Darbon.,Relancez tout ou parties de vos d6,Tourse.png
´ Steppe Phorehys,fleuron,Pack,Botaniste; cueilleur et planteur; Steppe Phorehys est le jardinier de la Horde. Un chrone végétal a transformé son crâne en une prairie couverte de fleurs et d’herbes folles.,Regagnez un point de moral lors de l'etablissement d'un camp,Steppe.png
)- Arval Redhamaj,éclaireur,Pack,Son rôle est de courir devant pour repérer le terrain et le fleurir de drapeaux afin de permettre aux Hordiers de se repérer. Il parvient toujours à dénicher la route adéquate.,Regardez le vent de 2 tuiles adjacentes,Arval.png
ˇ• Darbon,le fauconnier,Pack,Contrairement à Tourse; Darbon élève ses faucons de manière dure; dans le respect strict des règles et codes du métier. Il est responsable de nourir la Horde.,Sur chacun de vos d6 rajoutez ou retirez 1,Darbon.png
